Rank,TRACT_ID
1,118500
2,104600
3,102900
4,102800
5,120500
6,119800
7,118200
8,118101
9,113500
10,113101
11,112800
12,106300
13,105602
14,105500
15,105400
16,105300
17,104800
18,104300
19,104200
20,103900
21,103800
22,102700
23,980100
24,196500
25,183603
26,183100
27,151800
28,121700
29,121500
30,121200
31,120802
32,120801
33,120701
34,119702
35,119701
36,119100
37,118900
38,118800
39,118700
40,118602
41,118400
42,116400
43,114900
44,114600
45,114501
46,113600
47,112600
48,112500
49,112400
50,112301
51,112200
52,111401
53,110501
54,109701
55,109301
56,106100
57,105100
58,104900
59,104400
60,104100
61,103500
62,103400
63,101501
64,101400
65,101300
66,196000
67,185201
68,183606
69,183605
70,183604
71,183502
72,183402
73,183200
74,161600
75,161500
76,151700
77,151500
78,150400
79,150100
80,141400
81,141300
82,141100
83,141000
84,140900
85,140701
86,127501
87,123900
88,123200
89,121900
90,121100
91,120702
92,120600
93,120400
94,120200
95,119900
96,119600
97,118301
98,116900
99,116600
100,116500
101,115300
102,115200
103,114300
104,114100
105,113801
106,112100
107,111902
108,111800
109,111700
110,111600
111,111500
112,110801
113,109801
114,107701
115,105700
116,103100
117,102402
118,102300
119,102101
120,101901
121,101700
122,101603
123,101102
124,196400
125,188103
126,187106
127,187105
128,187104
129,187103
130,185203
131,185202
132,185104
133,185103
134,183501
135,183401
136,183300
137,178204
138,178201
139,177406
140,177404
141,177403
142,173107
143,173104
144,171203
145,171102
146,161800
147,161700
148,161400
149,161300
150,161200
151,161100
152,161000
153,160900
154,160800
155,160700
156,160602
157,160500
158,160400
159,160200
160,160100
161,154700
162,154603
163,154300
164,153107
165,152400
166,151600
167,151400
168,151200
169,151100
170,150300
171,141700
172,141602
173,141500
174,141200
175,140800
176,140702
177,140600
178,140301
179,131103
180,124300
181,124202
182,124201
183,123603
184,123602
185,123601
186,123501
187,123100
188,122300
189,122200
190,121800
191,121401
192,121300
193,119502
194,119501
195,119402
196,119401
197,119300
198,119202
199,117700
200,117300
201,117202
202,117101
203,116800
204,116700
205,116100
206,115800
207,115400
208,115100
209,114700
210,111202
211,108701
212,108400
213,108301
214,107802
215,106800
216,106600
217,106500
218,106400
219,106200
220,105900
221,103602
222,103300
223,102401
224,102200
225,101800
226,101200
227,101101
228,981100
229,196300
230,196200
231,195900
232,194900
233,194800
234,194500
235,194300
236,193900
237,193800
238,192800
239,190503
240,190502
241,189112
242,189111
243,189110
244,189109
245,189108
246,189107
247,188107
248,188106
249,188105
250,188104
251,186205
252,186201
253,186106
254,186103
255,185102
256,185101
257,184108
258,184106
259,184105
260,182105
261,182104
262,182103
263,181204
264,181203
265,181201
266,181100
267,180102
268,179102
269,179101
270,178206
271,178205
272,178102
273,178101
274,177608
275,177606
276,177501
277,177405
278,177304
279,177303
280,177302
281,177202
282,177201
283,177101
284,176200
285,176100
286,175106
287,175105
288,175104
289,174206
290,174205
291,174204
292,174107
293,174105
294,174104
295,174103
296,173106
297,173105
298,173103
299,171205
300,171204
301,171103
302,170201
303,170102
304,170101
305,160601
306,160300
307,156102
308,155102
309,155101
310,154604
311,154601
312,154502
313,154501
314,154200
315,153106
316,153105
317,153104
318,153103
319,152604
320,152603
321,152502
322,152501
323,152303
324,152202
325,152201
326,152102
327,152101
328,151300
329,141601
330,140500
331,140400
332,140302
333,140100
334,138110
335,138108
336,138107
337,138106
338,137103
339,137102
340,137101
341,134300
342,134206
343,134205
344,134204
345,134100
346,132302
347,132301
348,132200
349,132100
350,131104
351,131102
352,130105
353,130104
354,124600
355,124500
356,124100
357,123700
358,123502
359,123400
360,122100
361,121403
362,117900
363,117800
364,117600
365,117500
366,117400
367,117201
368,117102
369,116300
370,116200
371,115900
372,115700
373,110901
374,108201
375,107101
376,107000
377,106900
378,102102
379,980500
380,196100
381,195800
382,195700
383,195600
384,194100
385,192900
386,192300
387,190504
388,189105
389,186206
390,186203
391,186202
392,186107
393,186105
394,186104
395,184104
396,184103
397,182106
398,180104
399,180103
400,177609
401,177607
402,177605
403,177604
404,177505
405,177504
406,177503
407,177104
408,177103
409,175202
410,175201
411,175103
412,174207
413,174203
414,174106
415,172202
416,172201
417,172103
418,172102
419,172101
420,171206
421,171104
422,170202
423,156101
424,154400
425,154100
426,152703
427,152702
428,152701
429,152302
430,152301
431,138109
432,138105
433,136103
434,136102
435,136101
436,135106
437,135105
438,135104
439,135103
440,134203
441,133104
442,133103
443,130106
444,130103
445,126100
446,123800
