Rank,TRACT_ID
3,103900
1,103500
2,103400
4,102900
5,118700
8,104600
6,104100
7,103800
9,104200
11,107701
16,102800
21,118101
10,104300
14,102700
15,109301
13,106300
17,118200
63,118500
19,113101
20,118602
22,118800
12,119100
18,105300
24,116400
25,104400
28,115200
27,103100
26,111401
31,104800
30,118900
34,101901
23,104900
33,161500
37,103602
32,112301
52,105602
29,115300
38,103300
74,112800
44,115400
36,161600
144,161200
40,118301
77,105500
76,105400
45,115100
146,161400
147,161300
49,114900
48,108201
58,107802
50,108701
60,119502
41,111700
78,113500
46,108301
66,111202
39,111800
43,112600
42,111902
105,119800
35,119701
109,120500
54,111500
51,980100
56,111600
47,108400
132,161700
70,119402
59,101800
53,112200
61,101200
131,161800
84,123501
55,106100
64,102300
57,105100
65,102402
85,119702
62,101101
100,110901
81,151800
79,112500
86,118400
128,141100
71,106600
68,106200
67,106400
80,112400
75,112100
149,160400
150,151600
89,109701
72,119202
73,107101
69,106800
95,196500
82,116500
90,113600
91,123200
130,151700
87,101400
101,101501
83,123900
133,141000
112,101300
97,119501
114,121200
115,121500
88,116100
117,120701
96,105700
116,183603
94,119300
122,120802
93,101700
120,121700
119,110501
118,120801
134,151500
148,161100
123,114501
151,160602
153,160900
92,115800
125,110801
98,105900
106,119600
127,114600
107,101102
102,116600
163,183100
99,101603
154,140600
155,117201
138,150100
167,161000
103,102101
110,120200
168,160601
135,150300
111,120400
108,121100
113,120600
137,150400
124,127501
104,119401
169,160500
136,106500
170,160200
171,160100
121,120702
142,141300
139,102401
126,109801
129,114100
159,115700
141,116900
152,140900
143,183402
158,117600
157,102200
156,117101
165,121900
186,141400
164,119900
191,113801
166,183604
145,123100
224,114300
140,117700
178,185201
173,151100
177,124100
228,160300
176,123502
182,140701
215,183606
174,151400
216,183605
160,121401
179,106900
175,140702
172,141200
161,117202
162,124300
229,181100
181,116800
185,196000
187,117300
196,117102
190,124201
180,117500
252,183502
189,116700
256,183200
183,152400
197,123603
208,116200
206,117400
199,123601
184,183401
198,124202
231,152501
188,160700
200,117900
209,116300
223,122200
211,192800
217,122300
192,160800
220,196400
218,114700
221,121300
219,154700
222,154300
242,121800
210,102102
212,122100
225,123602
230,151300
213,124500
214,124600
232,154400
227,153107
234,181203
193,187103
247,115900
226,177303
245,137102
194,185202
270,107000
233,177202
248,123400
262,196100
265,121403
249,188103
275,117800
236,154100
243,177304
312,123800
195,140800
201,141602
202,187105
268,188104
203,151200
204,185103
255,154200
250,153105
259,137103
205,185203
278,123700
251,153106
283,171103
280,137101
273,140100
246,181201
358,152701
207,178201
333,171104
352,192300
235,187104
272,181204
348,126100
363,152702
237,141700
292,981100
238,178204
287,153103
239,154603
282,154601
240,185104
241,171203
244,177406
300,134100
258,141500
301,138106
263,183501
264,171102
260,140301
266,177404
267,177403
253,140400
269,183300
254,140500
396,152703
271,187106
394,138105
397,980500
257,185102
277,173104
289,131103
353,173107
261,152502
274,178102
276,153104
279,154501
285,177101
281,152102
284,152101
286,177201
304,177104
288,178205
291,178101
290,174107
293,141601
294,140302
295,185101
296,154502
305,177103
297,193800
298,152202
299,177405
302,178206
303,189112
306,154604
307,152603
311,171205
310,131102
313,171204
314,193900
315,177501
316,174206
317,134300
318,174105
320,196200
319,152201
308,174207
322,152303
323,188106
327,189107
325,152604
328,188105
309,172102
329,138110
331,170102
332,177606
334,132301
335,177302
324,172202
321,172201
337,188107
338,132100
339,155102
326,174106
340,130105
342,170101
343,170201
344,194300
345,182103
346,173103
330,171206
347,194500
351,174205
350,134204
336,133103
354,194900
357,132200
359,177608
360,173106
341,172101
361,134206
362,130104
364,173105
365,176200
366,189109
369,189108
368,182104
349,130106
370,174104
371,132302
372,155101
374,138108
373,138107
375,190503
376,189110
355,152302
356,152301
377,131104
380,189111
379,180102
382,186106
367,172103
384,174103
378,138109
386,176100
385,174204
388,134205
389,196300
390,194800
391,190502
393,179101
395,186205
383,192900
381,170202
387,177604
398,182105
399,175106
400,175105
392,189105
401,184108
402,184106
403,134203
404,184105
405,175104
406,186201
407,179102
408,186103
409,156102
410,195900
411,130103
412,194100
413,133104
414,180104
415,195800
416,177607
417,177605
418,195600
419,174203
420,190504
421,184104
422,184103
423,180103
424,156101
425,186206
426,186104
427,195700
428,177504
429,177503
430,136101
431,186203
432,186202
433,177609
434,186105
435,175202
436,175201
437,177505
438,182106
439,175103
440,136102
441,186107
442,135103
443,136103
444,135104
445,135106
446,135105
