TRACT,MIN_DOWN,MEDIAN_DOWN,MAX_DOWN,library_in_1.5_miles_count
101101,3,4,5,5
101102,3,4,4,4
101200,3,4,4,5
101300,3,4,4,3
101400,2,4,4,3
101501,3,3,4,3
101603,3,4,5,4
101700,3,6,4,4
101800,3,6,4,5
101901,3,4,4,4
102101,3,4,4,4
102102,3,6,4,6
102200,3,4,4,5
102300,3,4,5,4
102401,3,3,4,5
102402,3,4,5,4
102700,1,4,4,2
102800,3,4,4,1
102900,3,4,4,1
103100,3,6,4,4
103300,3,6,4,5
103400,3,4,4,3
103500,3,4,5,3
103602,3,4,4,5
103800,3,4,4,2
103900,3,4,4,2
104100,1,4,4,3
104200,3,4,4,2
104300,3,4,4,2
104400,3,4,1,3
104600,2,4,4,1
104800,3,6,4,2
104900,3,4,4,3
105100,3,4,5,3
105300,3,1,4,2
105400,3,4,4,2
105500,3,4,4,2
105602,3,4,4,2
105700,3,4,4,4
105900,3,6,3,5
106100,3,4,5,3
106200,3,6,4,5
106300,3,6,4,2
106400,3,4,4,5
106500,3,1,4,5
106600,3,4,5,5
106800,3,4,5,5
106900,3,4,5,6
107000,3,4,3,6
107101,3,1,4,6
107701,3,6,5,4
107802,3,1,3,5
108201,2,1,4,6
108301,3,1,3,5
108400,3,4,5,5
108701,3,6,2,5
109301,3,1,3,3
109701,3,1,4,3
109801,3,4,4,4
110501,3,1,4,3
110801,3,4,4,4
110901,3,4,4,6
111202,3,6,5,5
111401,3,1,3,3
111500,3,4,5,4
111600,3,1,3,4
111700,3,1,4,4
111800,3,4,4,4
111902,3,4,5,4
112100,3,6,4,4
112200,3,4,4,3
112301,3,4,5,3
112400,3,6,3,3
112500,3,6,5,3
112600,3,4,4,3
112800,3,5,4,2
113101,3,6,3,2
113500,1,4,5,2
113600,3,4,5,3
113801,3,4,4,4
114100,3,4,4,4
114300,3,6,3,4
114501,3,6,5,3
114600,3,4,4,3
114700,3,4,4,5
114900,3,4,4,3
115100,3,4,4,5
115200,3,4,1,4
115300,3,6,5,4
115400,1,2,5,5
115700,3,4,5,6
115800,1,4,5,5
115900,1,4,1,6
116100,3,4,1,5
116200,3,4,4,6
116300,2,4,4,6
116400,3,4,5,3
116500,3,6,5,4
116600,3,4,4,4
116700,3,4,5,5
116800,3,4,5,5
116900,3,4,5,4
117101,3,4,5,5
117102,3,4,4,6
117201,3,4,5,6
117202,3,6,4,5
117300,3,4,4,5
117400,3,4,5,6
117500,3,4,5,6
117600,3,4,1,6
117700,3,6,4,5
117800,3,4,1,6
117900,3,4,5,6
118101,3,6,5,2
118200,3,4,5,2
118301,3,4,4,4
118400,3,4,4,3
118500,3,4,5,1
118602,3,4,5,3
118700,3,6,5,3
118800,1,4,5,3
118900,1,4,4,3
119100,1,1,4,3
119202,3,4,5,5
119300,1,4,5,5
119401,3,4,4,5
119402,3,4,5,5
119501,3,1,1,5
119502,1,4,5,5
119600,3,4,5,4
119701,1,4,5,3
119702,3,4,4,3
119800,3,1,4,2
119900,3,6,5,4
120200,1,4,5,4
120400,3,4,5,4
120500,3,6,4,2
120600,3,6,5,4
120701,3,4,4,3
120702,3,4,4,4
120801,3,1,3,3
120802,1,4,5,3
121100,3,1,4,4
121200,3,4,5,3
121300,3,6,5,5
121401,3,4,5,5
121403,3,4,4,6
121500,1,1,4,3
121700,3,4,5,3
121800,3,4,4,5
121900,3,4,4,4
122100,3,5,5,6
122200,3,2,3,5
122300,3,4,4,5
123100,3,6,4,5
123200,3,4,5,4
123400,3,6,4,6
123501,3,6,4,5
123502,3,4,5,6
123601,3,6,4,5
123602,1,4,5,5
123603,3,2,4,5
123700,3,4,4,6
123800,3,3,4,7
123900,3,6,4,4
124100,3,4,3,6
124201,3,6,5,5
124202,3,6,4,5
124300,3,4,4,5
124500,3,6,2,6
124600,1,4,5,6
126100,3,4,4,7
127501,3,4,5,4
130103,3,6,5,7
130104,3,4,4,6
130105,3,4,5,6
130106,3,4,5,7
131102,3,4,3,6
131103,3,5,4,5
131104,3,6,5,6
132100,1,4,3,6
132200,3,4,5,6
132301,3,4,3,6
132302,3,4,4,6
133103,2,4,4,7
133104,3,4,5,7
134100,3,6,5,6
134203,3,4,4,7
134204,3,6,4,6
134205,3,4,5,6
134206,3,6,5,6
134300,3,6,4,6
135103,3,4,4,7
135104,3,4,4,7
135105,3,4,1,7
135106,3,6,4,7
136101,3,4,4,7
136102,3,1,4,7
136103,3,4,4,7
137101,1,1,4,6
137102,3,6,5,6
137103,3,4,4,6
138105,3,4,4,7
138106,3,4,4,6
138107,3,4,4,6
138108,3,1,4,6
138109,3,4,5,7
138110,1,2,4,6
140100,3,6,5,6
140301,3,6,5,5
140302,3,4,5,6
140400,3,4,5,6
140500,2,4,4,6
140600,3,6,4,5
140701,3,6,5,4
140702,3,6,4,5
140800,3,6,5,5
140900,3,1,4,4
141000,3,2,4,4
141100,3,4,4,4
141200,3,6,5,5
141300,3,6,4,4
141400,3,4,4,4
141500,3,1,4,5
141601,3,4,4,6
141602,3,1,4,5
141700,1,2,5,5
150100,3,6,5,4
150300,3,6,5,5
150400,3,4,4,4
151100,3,6,5,5
151200,3,4,5,5
151300,3,4,5,6
