,tract,total_preschools_one_mile,total_preschools_five_mile,total_elementary_2.5_mile,total_good_elementary_2.5_mile,nearest_elementary_dist,PI_elementary,nearest_elementary,total_middle_2.5_mile,total_good_middle_2.5_mile,nearest_middle_dist,PI_middle,nearest_middle,total_High_2.5_mile,total_good_High_2.5_mile,nearest_High_dist,PI_High,nearest_High
278,101101,5,12,11,10,112,124,"('Marion C Seltzer Elementary School', (41.478069299999994, -81.75153449999999))",6,4,414,49,"('Lincoln Park Academy', (41.467426, -81.712685))",13,7,211,49,"('Hope Academy Northwest Campus', (41.4822414, -81.76708620000001))"
160,101102,6,16,14,12,91,77,"('Louisa May Alcott Elementary School', (41.4826234, -81.7568792))",7,5,430,49,"('Constellation Schools: Westside Community School of the Arts', (41.451757, -81.763283))",13,7,108,49,"('Hope Academy Northwest Campus', (41.4822414, -81.76708620000001))"
235,101200,3,11,10,8,179,111,"('Watterson-Lake School', (41.4816514, -81.73621209999999))",7,4,400,54,"('Lincoln Park Academy', (41.467426, -81.712685))",13,6,308,54,"('Max S Hayes High School', (41.4712041, -81.7287328))"
349,101300,6,13,14,12,113,77,"('Louisa May Alcott Elementary School', (41.4826234, -81.7568792))",7,5,397,49,"('Constellation Schools: Westside Community School of the Arts', (41.451757, -81.763283))",12,7,33,49,"('Hope Academy Northwest Campus', (41.4822414, -81.76708620000001))"
244,101400,6,9,15,13,295,112,"('Wilbur Wright School', (41.460167, -81.76375999999999))",7,5,253,49,"('Constellation Schools: Westside Community School of the Arts', (41.451757, -81.763283))",12,7,183,49,"('Hope Academy Northwest Campus', (41.4822414, -81.76708620000001))"
245,101501,5,12,12,12,141,124,"('Marion C Seltzer Elementary School', (41.478069299999994, -81.75153449999999))",6,4,332,49,"('Constellation Schools: Westside Community School of the Arts', (41.451757, -81.763283))",12,7,174,49,"('Hope Academy Northwest Campus', (41.4822414, -81.76708620000001))"
0,101603,5,10,11,11,182,103,"('Constellation Schools: Madison Community Elementary', (41.4767784, -81.74817709999999))",6,4,292,49,"('Constellation Schools: Westside Community School of the Arts', (41.451757, -81.763283))",12,7,263,49,"('Hope Academy Northwest Campus', (41.4822414, -81.76708620000001))"
27,101700,5,11,11,10,19,103,"('Constellation Schools: Madison Community Elementary', (41.4767784, -81.74817709999999))",6,4,380,54,"('Constellation Schools: Westside Community School of the Arts', (41.451757, -81.763283))",11,6,251,54,"('Max S Hayes High School', (41.4712041, -81.7287328))"
427,101800,4,6,7,7,163,103,"('Constellation Schools: Madison Community Elementary', (41.4767784, -81.74817709999999))",6,4,324,54,"('Lincoln Park Academy', (41.467426, -81.712685))",12,6,132,54,"('Max S Hayes High School', (41.4712041, -81.7287328))"
246,101901,1,5,7,7,94,152,"('H Barbara Booker Elementary School', (41.473331099999996, -81.7312324))",6,4,239,54,"('Lincoln Park Academy', (41.467426, -81.712685))",13,6,71,54,"('Max S Hayes High School', (41.4712041, -81.7287328))"
400,102101,4,9,14,13,4,112,"('Wilbur Wright School', (41.460167, -81.76375999999999))",6,5,71,39,"('Constellation Schools: Westside Community School of the Arts', (41.451757, -81.763283))",10,6,215,39,"('New Technology West', (41.448097, -81.7695879))"
161,102102,5,14,15,14,81,89,"('Louis Agassiz School', (41.4543027, -81.76391890000001))",6,5,1,39,"('Constellation Schools: Westside Community School of the Arts', (41.451757, -81.763283))",11,6,38,39,"('New Technology West', (41.448097, -81.7695879))"
247,102200,5,10,12,11,116,147,"('Almira', (41.4616658, -81.75169759999999))",5,4,74,39,"('Constellation Schools: Westside Community School of the Arts', (41.451757, -81.763283))",11,6,253,39,"('New Technology West', (41.448097, -81.7695879))"
74,102300,5,10,12,11,2,147,"('Almira', (41.4616658, -81.75169759999999))",5,4,142,54,"('Constellation Schools: Westside Community School of the Arts', (41.451757, -81.763283))",10,7,326,54,"('Max S Hayes High School', (41.4712041, -81.7287328))"
28,102401,5,7,11,10,166,147,"('Almira', (41.4616658, -81.75169759999999))",5,4,212,54,"('Constellation Schools: Westside Community School of the Arts', (41.451757, -81.763283))",10,5,270,54,"('Max S Hayes High School', (41.4712041, -81.7287328))"
