TRACT,WALK_SCORE,TRANSIT_SCORE,BIKE_SCORE
101101,388.5,443,394.5
101102,329,391,334
101200,402.5,439,391
101300,306.5,387,321
101400,335.5,356,304.5
101501,303.5,417,344.5
101603,314.5,370,344.5
101700,322.5,404,356.5
101800,410,423.5,392.5
101901,425,411.5,407.5
102101,290,288,349
102102,224,248,304.5
102200,281,262.5,358.5
102300,371,316,386
102401,266.5,310,374
102402,374.5,382,380.5
102700,413.5,374,398
102800,411,319.5,380.5
102900,434.5,335.5,389
103100,413.5,414,428
103300,394.5,423.5,435
103400,441,408,441.5
103500,438,402.5,445
103602,388.5,411.5,439
103800,425,362.5,426
103900,436,371,431
104100,431,380.5,444
104200,408,406,436
104300,363,375,433.5
104400,341,362.5,441.5
104600,413.5,346,420.5
104800,273,340.5,415.5
104900,428.5,327,366.5
105100,247.5,271,399.5
105300,408,313,361
105400,341,301.5,368.5
105500,341,301.5,368.5
105602,316,291.5,396
105700,280,253,380.5
105900,363,254,347
106100,276,267.5,401
106200,356,267.5,402.5
106300,388.5,285,406
106400,391.5,278,375
106500,356,250,299
106600,394.5,272.5,372
106800,350,261,394.5
106900,297,238,344.5
107000,147.5,227.5,304.5
107101,378.5,418.5,386
107701,446,444,431
107802,428.5,445,392.5
108201,417,340.5,415.5
108301,413.5,400.5,415.5
108400,388.5,367,418.5
108701,425,429.5,405
109301,439,446,386
109701,306.5,434.5,360
109801,261,442,313.5
110501,208,427,323.5
110801,240,380.5,377
110901,312.5,327,427
111202,359.5,307.5,433.5
111401,332.5,316,441.5
111500,380,307.5,402.5
111600,382,314,399.5
111700,374.5,310,422
111800,347.5,319.5,431
111902,335.5,322,429
112100,350,319.5,380.5
112200,303.5,329,407.5
112301,400.5,353,412.5
112400,317,345,366.5
112500,326,355,377
112600,335.5,367,418.5
112800,353,369,371
113101,402.5,399,377
113500,335.5,415,353.5
113600,288.5,436,358.5
113801,170.5,428,281
114100,257.5,426,304.5
114300,132.5,422,271
114501,254,402.5,299
114600,179,420,309.5
114700,162,421,286
114900,365,373,411
115100,417,332,412.5
115200,417,357,424.5
115300,408,342.5,423
115400,425,332,415.5
115700,310,297,364
115800,326,323,386
115900,190.5,278,294.5
116100,310,332,397
116200,229.5,301.5,331
116300,201.5,327,323.5
116400,347.5,330,438
116500,345,360,370
116600,318.5,394,339
116700,205.5,316,319
116800,291.5,400.5,287.5
116900,262,350,279
117101,254,286,365
117102,245,299,340
117201,294,289,390
117202,251.5,281,341
117300,231.5,310,319
117400,240,297,327.5
117500,297,312,294.5
117600,326,282,353.5
117700,318.5,246.5,301
117800,137.5,259.5,282.5
117900,276,293.5,273
118101,358,339,437
118200,369,385.5,409
118301,391.5,394,424.5
118400,366.5,410,291.5
118500,378.5,416,313.5
118602,359.5,360,441.5
118700,433,425,446
118800,437,383,356.5
118900,397,372,420.5
119100,421.5,437,410
119202,366.5,433,386
119300,369,418.5,349
119401,343,388.5,338
119402,421.5,391,373
119501,385,367,342
119502,432,397,383
119600,329,378,336.5
119701,400.5,391,362.5
119702,361,385.5,351
119800,300.5,364,336.5
119900,235,283,256
120200,312.5,384,327.5
120400,308,365,323.5
120500,282.5,358,332
120600,294,347.5,327.5
120701,278.5,353,316
120702,266.5,350,316
120801,273,324.5,289
120802,251.5,360,311
121100,300.5,342.5,334
121200,284.5,344,316
121300,152.5,274.5,285
