TRACT,WALK_SCORE,BIKE_SCORE,DEMOGRAPHIC_SCORE,CRIME_SCORE,LIBRARY_COUNT
101101,388.5,394.5,35,63.5,271.5
101102,329,334,35,63.5,352.5
101200,402.5,391,68,263.5,271.5
101300,306.5,321,207,103.5,403
101400,335.5,304.5,360.5,312,403
101501,303.5,344.5,360.5,23.5,403
101603,314.5,344.5,320.5,103.5,352.5
101700,322.5,356.5,154.5,103.5,352.5
101800,410,392.5,35,63.5,271.5
101901,425,407.5,412,405,352.5
102101,290,349,320.5,312,352.5
102102,224,304.5,207,156,144
102200,281,358.5,68,156,271.5
102300,371,386,68,210.5,352.5
102401,266.5,374,154.5,263.5,271.5
102402,374.5,380.5,109.5,210.5,352.5
102700,413.5,398,390.5,439,433.5
102800,411,380.5,439.5,405,444.5
102900,434.5,389,428,351.5,444.5
103100,413.5,428,207,103.5,352.5
103300,394.5,435,35,103.5,271.5
103400,441,441.5,360.5,382,403
103500,438,445,320.5,351.5,403
103602,388.5,439,109.5,156,271.5
103800,425,426,320.5,351.5,433.5
103900,436,431,266.5,263.5,433.5
104100,431,444,154.5,103.5,403
104200,408,436,266.5,23.5,433.5
104300,363,433.5,68,103.5,433.5
104400,341,441.5,109.5,23.5,403
104600,413.5,420.5,154.5,210.5,444.5
104800,273,415.5,207,103.5,433.5
104900,428.5,366.5,360.5,103.5,403
105100,247.5,399.5,428,351.5,403
105300,408,361,390.5,210.5,433.5
105400,341,368.5,207,156,433.5
105500,341,368.5,207,156,433.5
105602,316,396,68,40.5,433.5
105700,280,380.5,68,210.5,352.5
105900,363,347,266.5,103.5,271.5
106100,276,401,35,382,403
106200,356,402.5,109.5,263.5,271.5
106300,388.5,406,68,156,433.5
106400,391.5,375,8,103.5,271.5
106500,356,299,109.5,263.5,271.5
106600,394.5,372,68,63.5,271.5
106800,350,394.5,17,312,271.5
106900,297,344.5,320.5,263.5,144
107000,147.5,304.5,320.5,156,144
107101,378.5,386,412,263.5,144
107701,446,431,390.5,63.5,352.5
107802,428.5,392.5,439.5,263.5,271.5
108201,417,415.5,439.5,263.5,144
108301,413.5,415.5,360.5,156,271.5
108400,388.5,418.5,390.5,103.5,271.5
108701,425,405,266.5,40.5,271.5
109301,439,386,360.5,63.5,403
109701,306.5,360,207,103.5,403
109801,261,313.5,109.5,23.5,352.5
110501,208,323.5,35,40.5,403
110801,240,377,68,263.5,352.5
110901,312.5,427,154.5,210.5,144
111202,359.5,433.5,207,419.5,271.5
111401,332.5,441.5,154.5,312,403
111500,380,402.5,360.5,405,352.5
111600,382,399.5,412,312,352.5
111700,374.5,422,266.5,430,352.5
111800,347.5,431,390.5,312,352.5
111902,335.5,429,266.5,263.5,352.5
112100,350,380.5,412,263.5,352.5
112200,303.5,407.5,68,312,403
112301,400.5,412.5,207,210.5,403
112400,317,366.5,154.5,263.5,403
112500,326,377,35,63.5,403
112600,335.5,418.5,35,103.5,403
112800,353,371,17,210.5,433.5
113101,402.5,377,68,103.5,433.5
113500,335.5,353.5,154.5,7.5,433.5
113600,288.5,358.5,17,103.5,403
113801,170.5,281,68,4.5,352.5
114100,257.5,304.5,109.5,12,352.5
114300,132.5,271,68,63.5,352.5
114501,254,299,266.5,405,403
114600,179,309.5,207,63.5,403
114700,162,286,154.5,63.5,271.5
114900,365,411,35,103.5,403
115100,417,412.5,266.5,263.5,271.5
115200,417,424.5,109.5,210.5,352.5
115300,408,423,207,210.5,352.5
115400,425,415.5,360.5,210.5,271.5
115700,310,364,360.5,263.5,144
115800,326,386,68,103.5,271.5
115900,190.5,294.5,35,4.5,144
116100,310,397,35,210.5,271.5
116200,229.5,331,109.5,156,144
116300,201.5,323.5,207,63.5,144
116400,347.5,438,154.5,210.5,403
116500,345,370,154.5,210.5,352.5
116600,318.5,339,154.5,263.5,352.5
116700,205.5,319,207,156,271.5
116800,291.5,287.5,207,210.5,271.5
116900,262,279,390.5,312,352.5
117101,254,365,35,312,271.5
117102,245,340,320.5,210.5,144
117201,294,390,17,382,144
117202,251.5,341,8,312,271.5
117300,231.5,319,360.5,156,271.5
117400,240,327.5,207,382,144
117500,297,294.5,266.5,405,144
117600,326,353.5,8,419.5,144
117700,318.5,301,207,382,271.5
117800,137.5,282.5,207,312,144
117900,276,273,390.5,382,144
118101,358,437,207,210.5,433.5
118200,369,409,320.5,263.5,433.5
118301,391.5,424.5,266.5,156,352.5
118400,366.5,291.5,390.5,156,403
118500,378.5,313.5,390.5,312,444.5
118602,359.5,441.5,154.5,23.5,403
118700,433,446,207,382,403
