
NEO CANDO Data Export

County,Census Tract,"Renter occupied housing units, number, 2012 5-yr est (ACS 2012 5-year)","Renter occupied housing units, number, 2012 5-yr est (ACS 2012 5-year), Margin of Error","Renter occupied housing units, percent, 2012 5-yr est (ACS 2012 5-year)","Renter occupied housing units, percent, 2012 5-yr est (ACS 2012 5-year), Margin of Error","Renter occupied housing units, number, 2012 5-yr est (ACS 2012 5-year)","Renter occupied housing units, number, 2012 5-yr est (ACS 2012 5-year), Margin of Error","Crowded renter-occupied housing units, number, 2012 5-yr est (ACS 2012 5-year)","Crowded renter-occupied housing units, number, 2012 5-yr est (ACS 2012 5-year), Margin of Error","Crowded renter-occupied housing units, percent, 2012 5-yr est (ACS 2012 5-year)","Crowded renter-occupied housing units, percent, 2012 5-yr est (ACS 2012 5-year), Margin of Error","Renter hhlds for housing burden, number, 2012 5-yr est (ACS 2012 5-year)","Renter hhlds for housing burden, number, 2012 5-yr est (ACS 2012 5-year), Margin of Error","Renter hhlds with a housing burden, number, 2012 5-yr est (ACS 2012 5-year)","Renter hhlds with a housing burden, number, 2012 5-yr est (ACS 2012 5-year), Margin of Error","Renter hhlds with a housing burden, percent, 2012 5-yr est (ACS 2012 5-year)","Renter hhlds with a housing burden, percent, 2012 5-yr est (ACS 2012 5-year), Margin of Error","Median gross rent, number, 2012 5-yr est (ACS 2012 5-year)","Median gross rent, number, 2012 5-yr est (ACS 2012 5-year), Margin of Error",
Cuyahoga,1011.01,869,87,89.31,4.68,869,87,19,21.95,2.19,2.52,820,146.23,551,120.84,67.2,8.58,588,16,
Cuyahoga,1011.02,1939,188,71.31,5.89,1939,188,12,22.83,0.62,1.18,1906,375.44,864,253.56,45.33,9.86,713,109,
Cuyahoga,1012.00,983,127,72.76,7.21,983,127,18,31.95,1.83,3.24,905,189.37,431,120.58,47.62,8.84,454,53,
Cuyahoga,1013.00,642,116,79.55,10.55,642,116,26,42.45,4.05,6.57,586,144.67,484,121.38,82.59,3.64,631,63,
Cuyahoga,1014.00,380,103,49.41,12.02,380,103,0,11,0,2.89,374,121.08,274,113.72,73.26,19.03,711,52,
Cuyahoga,1015.01,506,120,58.7,12.5,506,120,0,11,0,2.17,457,162.39,264,126.45,57.77,18.55,660,113,
Cuyahoga,1016.03,470,100,58.97,10.59,470,100,0,11,0,2.34,414,149.24,280,99.81,67.63,34.29,598,91,
Cuyahoga,1017.00,716,103,72.62,7.55,716,103,23,36.69,3.21,5.1,613,168.58,398,119.28,64.93,7.73,679,98,
Cuyahoga,1018.00,629,133,67.2,11.02,629,133,0,11,0,1.75,593,163.67,376,122.98,63.41,11.13,594,62,
Cuyahoga,1019.01,381,95,63.39,12.79,381,95,0,11,0,2.89,325,129.22,207,92.2,63.69,12.79,626,91,
Cuyahoga,1021.01,792,133,58.28,8.75,792,133,0,11,0,1.39,742,182.79,455,140.32,61.32,11.38,706,40,
