tract_id,polygon_coord,center_latitude,center_longitude,name
101101,"[(41.480862, -81.754748), (41.480373, -81.75598), (41.479879, -81.754095), (41.479721, -81.753445), (41.480236, -81.747338), (41.480628, -81.743414), (41.480686, -81.7432), (41.484112, -81.743226), (41.484531, -81.744879), (41.483149, -81.748625), (41.480862, -81.754748)]",41.482125999999994,-81.74959,Edgewater
101102,"[(41.491655121519, -81.7688054582278), (41.489971, -81.768676), (41.487523, -81.76874), (41.485172, -81.76874), (41.483878, -81.76455), (41.483177, -81.762327), (41.480862, -81.754748), (41.483149, -81.748625), (41.484531, -81.744879), (41.485842, -81.752015), (41.487956, -81.751444), (41.4881670260384, -81.7503928389496), (41.490061, -81.760892), (41.4900615834235, -81.7608928348682), (41.491365, -81.762758), (41.492039, -81.765636), (41.491655121519, -81.7688054582278)]",41.486450500000004,-81.7568422291139,Edgewater
101200,"[(41.487956, -81.751444), (41.485842, -81.752015), (41.484531, -81.744879), (41.484112, -81.743226), (41.480686, -81.7432), (41.48262, -81.735754), (41.481549, -81.73575), (41.482982, -81.73027), (41.489941, -81.730277), (41.49055, -81.730354), (41.492495408398, -81.7305671380466), (41.492061, -81.73136), (41.4930250386622, -81.7336964961751), (41.493194, -81.734106), (41.491146, -81.739648), (41.48855, -81.738755), (41.48715, -81.744755), (41.4881670260384, -81.7503928389496), (41.487956, -81.751444)]",41.486940000000004,-81.7411425,Cleveland
101300,"[(41.476905, -81.768804), (41.475553, -81.768814), (41.478948, -81.7597), (41.480373, -81.75598), (41.480862, -81.754748), (41.483177, -81.762327), (41.483878, -81.76455), (41.485172, -81.76874), (41.483617, -81.768751), (41.479593, -81.768772), (41.476905, -81.768804)]",41.4803625,-81.76178100000001,Edgewater
101400,"[(41.463592, -81.768894), (41.461863, -81.768924), (41.465218, -81.758711), (41.467195, -81.758724), (41.467714, -81.759736), (41.468157, -81.759737), (41.468316, -81.758719), (41.477937, -81.758861), (41.478948, -81.7597), (41.475553, -81.768814), (41.474001, -81.7688), (41.470379, -81.768815), (41.46682, -81.76876), (41.463592, -81.768894)]",41.4704055,-81.7638175,Cudell
101501,"[(41.468157, -81.759737), (41.467714, -81.759736), (41.467997, -81.758053), (41.46878, -81.755502), (41.469819, -81.752498), (41.470107, -81.75286), (41.47043, -81.754186), (41.477066, -81.754133), (41.479879, -81.754095), (41.480373, -81.75598), (41.478948, -81.7597), (41.477937, -81.758861), (41.468316, -81.758719), (41.468157, -81.759737)]",41.4740435,-81.7561175,Cudell
101603,"[(41.467714, -81.759736), (41.467195, -81.758724), (41.465218, -81.758711), (41.465238, -81.758649), (41.466693, -81.754202), (41.467728, -81.751035), (41.468388, -81.749038), (41.468464, -81.748835), (41.469226, -81.746722), (41.47009, -81.745592), (41.470056, -81.751034), (41.47046, -81.748568), (41.472142, -81.748559), (41.473252, -81.748558), (41.477114, -81.748543), (41.477103, -81.750968), (41.477066, -81.754133), (41.47043, -81.754186), (41.470107, -81.75286), (41.469819, -81.752498), (41.46878, -81.755502), (41.467997, -81.758053), (41.467714, -81.759736)]",41.471166,-81.75266400000001,Cudell
101700,"[(41.479879, -81.754095), (41.477066, -81.754133), (41.477103, -81.750968), (41.477114, -81.748543), (41.473252, -81.748558), (41.472142, -81.748559), (41.47046, -81.748568), (41.470056, -81.751034), (41.47009, -81.745592), (41.4706, -81.744074), (41.470592, -81.743138), (41.470749, -81.741915), (41.474584, -81.741896), (41.477153, -81.741877), (41.47714, -81.743402), (41.480628, -81.743414), (41.480236, -81.747338), (41.479721, -81.753445), (41.479879, -81.754095)]",41.475342,-81.748005,Cudell
101800,"[(41.4706, -81.744074), (41.47009, -81.745592), (41.470169, -81.742899), (41.470281, -81.741135), (41.470999, -81.735739), (41.473085, -81.734877), (41.474094, -81.734847), (41.477194, -81.734802), (41.477194, -81.735808), (41.478835, -81.73579), (41.481549, -81.73575), (41.48262, -81.735754), (41.480686, -81.7432), (41.480628, -81.743414), (41.47714, -81.743402), (41.477153, -81.741877), (41.474584, -81.741896), (41.470749, -81.741915), (41.470592, -81.743138), (41.4706, -81.744074)]",41.476355,-81.740197,Detroit - Shoreway
101901,"[(41.478835, -81.73579), (41.477194, -81.735808), (41.477194, -81.734802), (41.474094, -81.734847), (41.473085, -81.734877), (41.470999, -81.735739), (41.471883, -81.731751), (41.472412, -81.730145), (41.47464, -81.730155), (41.478855, -81.730242), (41.480613, -81.730264), (41.482982, -81.73027), (41.481549, -81.73575), (41.478835, -81.73579)]",41.4769905,-81.7329765,Detroit - Shoreway
102101,"[(41.459718, -81.768937), (41.456376, -81.768976), (41.456256, -81.758851), (41.458748, -81.758789), (41.459137, -81.758766), (41.461316, -81.758722), (41.465238, -81.758649), (41.465218, -81.758711), (41.461863, -81.768924), (41.461469, -81.768923), (41.459718, -81.768937)]",41.460747,-81.7638125,West Boulevard
102102,"[(41.450529, -81.769041), (41.448716, -81.76904), (41.448393, -81.76891), (41.44659, -81.766798), (41.448812, -81.763746), (41.447387, -81.763157), (41.444977, -81.763945), (41.445517, -81.763301), (41.448437, -81.759417), (41.448503, -81.75946), (41.451798, -81.759436), (41.452923, -81.758942), (41.456256, -81.758851), (41.456376, -81.768976), (41.454713, -81.768989), (41.450529, -81.769041)]",41.4506765,-81.763946,West Boulevard
