,TRACT,MIN_DOWN,MEDIAN_DOWN,MAX_DOWN,library_in_1.5_miles_count
0,101603,0.768,6,50,3
1,105900,0.768,5,300,2
2,106800,0.768,6,50,2
3,112400,0.768,5,300,4
4,114700,0.768,6,75,2
5,116500,0.768,5,50,3
6,118500,0.768,6,50,6
7,119701,2,6,50,4
8,121401,0.768,6,50,2
9,130105,0.768,6,50,1
10,135103,0.768,6,75,0
11,138106,0.768,6,75,1
12,140702,0.768,5,75,2
13,150300,0.768,5,50,2
14,152603,0.768,6,50,1
15,152701,0.768,6,50,0
16,160200,0.768,6,50,2
17,160800,0.768,6,50,2
18,171103,0.768,6,50,1
19,173104,2,6,50,2
20,177103,0.768,5,75,0
21,177406,2,6,50,2
22,181201,0.768,6,50,1
23,183501,0.768,6,75,2
24,185103,0.768,6,50,2
25,189111,0.768,5,75,1
26,194300,0.768,5,75,1
27,101700,0.768,5,75,3
28,102401,0.768,10,75,2
29,103100,0.768,5,75,3
30,103900,0.768,6,75,5
31,108701,0.768,5,400,2
32,110801,0.768,6,75,3
33,111902,0.768,6,50,3
34,112800,0.768,5.5,75,5
35,114100,0.768,6,75,3
36,116300,1.5,6,75,1
37,117500,0.768,6,50,1
38,118301,0.768,6,75,3
39,119401,0.768,6,75,2
40,155102,0.768,6,75,1
41,160300,2,15,75,1
42,161000,0.768,6,75,2
43,161500,2,10.5,75,3
44,170102,1.5,6,75,1
45,171204,0.768,6,75,1
46,173105,2,6,75,1
47,174105,1.5,6,75,1
48,177404,0.768,6,75,2
49,177605,0.768,6,75,0
50,178204,0.768,6,75,2
51,180102,0.768,6,75,1
52,182104,0.768,5,50,1
53,183300,0.768,6,50,2
54,183605,2,6,50,3
55,184106,0.768,6,50,1
56,185202,0.768,6,50,2
57,186107,0.768,5,50,0
58,187104,0.768,6,50,2
59,195600,0.768,6,75,0
60,981100,0.768,6,75,1
61,120702,0.768,6,75,3
62,121300,0.768,5,50,2
63,122100,0.768,5.5,50,1
64,123502,0.768,6,50,1
65,124201,0.768,5,50,2
66,130103,0.768,5,50,0
67,131104,0.768,5,50,1
68,134100,0.768,5,50,1
69,138109,0.768,6,50,0
70,140800,0.768,5,50,2
71,152301,2,6,50,0
72,153104,0.768,6,50,1
73,154200,0.768,5,50,1
74,102300,0.768,6,50,3
75,106100,0.768,6,50,4
76,111500,0.768,6,50,3
77,117900,0.768,6,50,1
78,119502,2,6,50,2
79,133104,0.768,6,50,0
80,140100,0.768,5,50,1
81,171206,0.768,5,75,0
82,177304,0.768,6,75,1
83,178201,0.768,6,75,2
84,182105,0.768,5,75,1
85,185201,0.768,6,50,3
86,189110,2,10.5,75,1
87,196200,1.5,6,50,1
88,117400,0.768,6,50,1
89,109801,0.768,6,75,3
90,118900,2,6,75,4
91,154700,1.5,6,75,2
92,122300,0.768,6,75,2
93,116700,0.768,6,50,2
94,124600,2,6,50,1
95,141700,2,10.5,50,2
96,151300,0.768,6,50,1
97,152400,0.768,6,50,2
98,154502,2,6,50,1
99,177201,2,6,50,1
100,183401,2,6,50,2
101,195700,0.768,6,50,0
102,103300,0.768,5,75,2
103,107701,0.768,5,50,3
104,114600,0.768,6,75,4
105,118400,0.768,6,75,4
