,tract,total_preschools_one_mile,total_preschools_five_mile,total_elementary_2.5_mile,total_good_elementary_2.5_mile,nearest_elementary_dist,PI_elementary,nearest_elementary,total_middle_2.5_mile,total_good_middle_2.5_mile,nearest_middle_dist,PI_middle,nearest_middle,total_High_2.5_mile,total_good_High_2.5_mile,nearest_High_dist,PI_High,nearest_High
0,101603,1,23,19,12,0.45194132507434354,83.848,"('Constellation Schools: Madison Community Elementary', (41.4767784, -81.74817709999999))",2,1,1.4484433646747457,77.692,"('Constellation Schools: Westside Community School of the Arts', (41.451757, -81.763283))",5,2,1.069805953497953,77.692,"('Hope Academy Northwest Campus', (41.4822414, -81.76708620000001))"
1,105900,3,13,11,3,0.1464784689592502,86.802,"('William C Bryant Elementary School', (41.4260388, -81.7054574))",3,0,0.6188238103473095,93.07700000000001,"('Constellation Schools: Old Brooklyn Community Middle', (41.43395170000001, -81.7074885))",5,1,0.662995687323205,93.07700000000001,"('Facing History High School@Charles Mooney', (41.435166100000004, -81.70521550000001))"
2,106800,3,19,17,6,0.210687092713059,69.209,"('Charles A Mooney School', (41.435166100000004, -81.70521550000001))",3,1,0.3553454121407838,93.07700000000001,"('Constellation Schools: Old Brooklyn Community Middle', (41.43395170000001, -81.7074885))",3,2,0.210687092713059,93.07700000000001,"('Facing History High School@Charles Mooney', (41.435166100000004, -81.70521550000001))"
3,112400,1,22,17,13,0.5691295188093337,58.611999999999995,"('Mary B Martin School', (41.508245, -81.629979))",4,2,1.087854830993443,73.877,"('Citizens Leadership Academy', (41.5089964, -81.61911629999999))",14,7,0.1677160745407499,73.877,"('Health Careers Center High School', (41.509793, -81.63866800000001))"
4,114700,1,15,25,18,0.27624061017267704,54.412,"('Anton Grdina', (41.4782583, -81.6389551))",3,1,1.063020261421282,75.258,"('Broadway Academy', (41.4656044, -81.6522654))",12,6,0.9355690994393775,75.258,"('New Technology HS@East Tech', (41.492503799999994, -81.64976309999999))"
5,116500,4,19,18,15,0.06074789698428088,60.92,"('Franklin D. Roosevelt', (41.5352632, -81.6104739))",1,0,1.806644289451415,70.505,"('Citizens Leadership Academy', (41.5089964, -81.61911629999999))",10,5,0.38185328983502864,70.505,"('Glenville High School', (41.539004299999995, -81.606617))"
6,118500,2,24,23,18,0.07716404606878943,66.6,"('Mary M Bethune', (41.5203852, -81.6028622))",2,0,1.1939285349751665,70.505,"('Citizens Leadership Academy', (41.5089964, -81.61911629999999))",9,4,1.333917467232205,70.505,"('Glenville High School', (41.539004299999995, -81.606617))"
7,119701,0,17,24,15,0.7580124182074433,99.148,"('Woodbury Elementary School', (41.4769316, -81.57387309999999))",3,1,1.3001459647712859,88.59,"('Roxboro Middle School', (41.49416110000001, -81.59005859999999))",9,3,0.7175545891308701,88.59,"('HBCU Preparatory School 1', (41.4844347, -81.5950935))"
8,121401,1,13,20,13,0.37995471847944057,68.902,"('Harvard Avenue Community School', (41.4481013, -81.59844129999999))",2,1,0.4975068349618009,72.48899999999999,"('Chapelside Cleveland Academy', (41.4540529, -81.5905679))",6,3,0.7469194738366813,72.48899999999999,"('John Adams High School', (41.4544124, -81.6016219))"
9,130105,1,6,4,0,1.9715990896673197,111.319,"('Hilliard Elementary School', (41.4616626, -81.88935359999999))",2,0,0.6817233760516995,109.01100000000001,"('Bay Middle School', (41.4841402, -81.9268821))",2,0,1.5551195892795493,109.01100000000001,"('Bay High School', (41.486959999999996, -81.943391))"
