TRACT,WALK_SCORE,TRANSIT_SCORE,BIKE_SCORE
101603,56.666666666666664,48.666666666666664,47.166666666666664
105900,62.0,33.666666666666664,47.5
106800,61.0,35.166666666666664,54.166666666666664
112400,57.166666666666664,44.5,50.833333333333336
114700,39.5,59.833333333333336,39.333333333333336
116500,60.5,47.5,51.166666666666664
118500,64.16666666666667,58.833333333333336,43.333333333333336
119701,66.16666666666667,52.5,50.0
121401,53.333333333333336,40.5,44.0
130105,31.0,24.0,23.0
135103,6.5,24.0,23.0
138106,22.833333333333332,29.0,23.666666666666668
140702,61.0,24.0,23.0
150300,63.333333333333336,63.666666666666664,27.833333333333332
152603,39.0,24.0,23.0
152701,27.5,31.166666666666668,32.333333333333336
160200,64.0,24.0,23.0
160800,56.666666666666664,25.833333333333332,23.0
171103,34.333333333333336,28.833333333333332,30.5
173104,36.5,24.0,23.0
177103,43.0,24.0,23.0
177406,44.166666666666664,24.0,23.0
181201,53.0,29.666666666666668,23.0
183501,41.833333333333336,24.0,23.0
185103,50.166666666666664,24.0,23.0
189111,21.0,24.0,23.0
194300,29.333333333333332,24.0,23.0
101700,57.666666666666664,54.5,48.666666666666664
102401,51.166666666666664,41.333333333333336,52.166666666666664
103100,68.33333333333333,58.0,59.666666666666664
103900,72.0,49.0,60.5
108701,69.5,61.833333333333336,55.666666666666664
110801,47.166666666666664,50.833333333333336,52.5
111902,59.166666666666664,42.333333333333336,60.166666666666664
112800,61.166666666666664,48.5,51.666666666666664
114100,50.0,60.833333333333336,41.833333333333336
116300,43.166666666666664,42.833333333333336,44.0
117500,54.333333333333336,41.5,40.833333333333336
118301,65.16666666666667,52.833333333333336,59.166666666666664
119401,60.0,52.333333333333336,45.666666666666664
155102,31.666666666666668,24.0,23.0
160300,62.0,24.0,23.0
161000,65.66666666666667,25.833333333333332,23.0
161500,76.5,24.0,23.0
170102,33.666666666666664,24.0,23.0
171204,37.5,24.0,23.0
173105,25.0,24.0,23.0
174105,35.5,24.0,23.0
177404,41.333333333333336,24.0,23.0
177605,21.333333333333332,24.0,23.0
178204,45.0,24.0,23.0
180102,21.0,24.0,23.0
182104,24.666666666666668,24.833333333333332,23.0
183300,38.666666666666664,24.0,23.0
183605,42.833333333333336,25.833333333333332,24.833333333333332
184106,14.833333333333334,24.0,23.0
185202,54.0,24.0,23.0
186107,9.0,24.0,23.0
187104,46.833333333333336,24.0,23.0
195600,20.833333333333332,24.0,23.0
981100,26.5,36.0,26.666666666666668
120702,51.166666666666664,45.333333333333336,43.5
121300,38.666666666666664,36.5,38.833333333333336
122100,45.0,36.666666666666664,41.833333333333336
123502,56.333333333333336,55.333333333333336,45.0
124201,49.166666666666664,52.333333333333336,42.333333333333336
130103,27.0,24.0,23.0
131104,21.833333333333332,24.0,23.0
134100,26.5,29.0,24.166666666666668
138109,33.833333333333336,24.0,23.0
140800,51.833333333333336,24.0,23.0
152301,34.666666666666664,24.0,23.0
153104,46.0,26.333333333333332,23.0
154200,42.333333333333336,27.333333333333332,26.5
102300,63.0,42.0,53.333333333333336
106100,52.166666666666664,35.666666666666664,55.166666666666664
111500,64.33333333333333,41.166666666666664,55.333333333333336
117900,52.166666666666664,39.666666666666664,35.666666666666664
119502,70.5,53.333333333333336,53.0
133104,26.666666666666668,24.0,23.0
140100,40.5,28.333333333333332,25.5
171206,38.5,24.0,23.0
177304,44.166666666666664,28.166666666666668,28.333333333333332
178201,47.166666666666664,24.0,23.0
182105,15.833333333333334,24.833333333333332,23.0
185201,55.5,24.0,23.0
189110,22.333333333333332,24.0,23.0
196200,35.333333333333336,24.0,23.0
117400,47.166666666666664,40.0,44.166666666666664
109801,50.333333333333336,65.5,43.333333333333336
118900,65.66666666666667,49.166666666666664,58.333333333333336
154700,41.333333333333336,34.166666666666664,36.166666666666664
122300,42.0,35.0,37.333333333333336
116700,43.666666666666664,42.0,43.666666666666664
124600,44.166666666666664,37.5,40.833333333333336
141700,45.333333333333336,24.0,23.0
151300,58.5,61.833333333333336,23.0
152400,52.166666666666664,29.5,34.166666666666664
154502,41.166666666666664,24.0,23.0
177201,44.166666666666664,24.0,23.0
183401,51.0,34.333333333333336,31.5
195700,17.5,24.0,23.0
103300,65.5,60.166666666666664,61.333333333333336
107701,79.83333333333333,67.16666666666667,60.5
114600,41.5,59.5,42.333333333333336
118400,62.333333333333336,57.5,40.5
154601,35.666666666666664,25.333333333333332,23.666666666666668
160500,64.66666666666667,24.0,23.0
161400,79.33333333333333,24.0,23.0
177405,39.833333333333336,24.0,23.0
120701,52.333333333333336,45.5,43.5
132200,27.666666666666668,24.0,23.0
140701,53.5,26.333333333333332,23.0
150100,60.666666666666664,57.833333333333336,27.166666666666668
151100,59.5,53.0,26.333333333333332
151200,51.166666666666664,36.666666666666664,23.0
151600,68.66666666666667,50.666666666666664,23.0
151700,64.5,62.666666666666664,32.333333333333336
151800,64.5,62.666666666666664,32.333333333333336
152201,35.333333333333336,24.0,23.0
154300,41.833333333333336,30.833333333333332,34.333333333333336
155101,23.833333333333332,24.0,23.0
156101,18.166666666666668,24.0,23.0
160400,69.5,24.0,23.0
161300,78.5,24.0,23.0
161600,73.5,24.0,23.0
170201,30.0,24.0,23.0
172102,39.833333333333336,24.0,23.0
172202,39.333333333333336,24.0,23.0
173107,26.0,24.0,23.0
174107,42.666666666666664,24.0,23.0
174207,40.833333333333336,24.0,23.0
175201,11.0,24.0,23.0
176100,19.333333333333332,24.0,23.0
177403,41.166666666666664,24.0,23.0
177503,16.833333333333332,24.0,23.0
177606,33.166666666666664,24.0,23.0
177609,14.666666666666666,24.0,23.0
180103,18.166666666666668,24.0,23.0
181204,37.666666666666664,32.833333333333336,26.0
183604,47.0,28.0,29.333333333333332
184105,14.666666666666666,24.0,23.0
184108,14.833333333333334,24.0,23.0
186105,14.166666666666666,24.0,23.0
186201,14.0,24.0,23.0
187103,54.5,24.0,23.0
187105,51.5,24.0,23.0
188104,39.5,29.5,31.333333333333332
188105,34.0,24.0,23.0
188107,32.5,24.0,23.0
189107,34.333333333333336,26.333333333333332,23.0
189112,39.166666666666664,24.0,23.0
